CharacteristicName,category,sub-category,link,detects,detection info,CAS
Phenol,PPCPs,antibiotic,"natural and manufactured, in many household products. While toxic to consume on its own, it’s available in tiny doses in many household products like mouthwash and spray cleaners. https://go.drugbank.com/drugs/DB03255",TRUE,around honokakau,
Phenol-d5,PPCPs,antibiotic,labeled form,TRUE,north of honokokau,
Triclosan,PPCPs,antibiotic,,TRUE,"treated wastewater in kona, irrigation pond",
Carbamazepine,PPCPs,Anti-convulsant,,TRUE,near honokokau,
Carbamazepine-d10,PPCPs,Anti-convulsant,,TRUE,,
"1,6-Dimethylnaphthalene",PAH,combustion by-product,,TRUE,fish ponds near honokohau,
"Tris(1,3-dichloro-2-propyl)phosphate",PPCPs,flame retardant,TDCPP,TRUE,,
Tris(2-chloroethyl) phosphate,PPCPs,flame retardant,TCEP,TRUE,,
Methyl salicylate,PPCPs,flavorant," naturally produced by many species of plants, particularly wintergreens, ingredient in mint candies",TRUE,,
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",PPCPs,fragrance,"aka galaxolide, undergoing risk evaluation https://www.epa.gov/assessing-and-managing-chemicals-under-tsca/risk-evaluation-134678-hexahydro-466788",TRUE,Kohanaiki irrigation pond near honokohau in 2009,
Benzophenone,PPCPs,fragrance,"occurs naturally in some foods (such as wine grapes and muscat grapes) and is added to other foods as a flavoring. In personal care products, benzophenone is used as a fragrance enhancer or to prevent products such as soaps from losing scents and colors in the presence of UV light.",TRUE,treated wastewater in kona,
Azoxystrobin,pesticide,fungicide,,TRUE,northeast,
Propiconazole,pesticide,fungicide,,TRUE,only north of hilo,
Silvex,pesticide,herbicde,legacy herbicide,TRUE,only northeast,
Simazine,pesticide,herbicde,,TRUE,Waikoloa Anch. Pool Preserve Area,
Tebuthiuron,pesticide,herbicde,,TRUE,north of hilo,
"2,4-D",pesticide,herbicide,,TRUE, northeast,
"2,4-D methyl ester",pesticide,herbicide,,,,
2-Chloro-4-isopropylamino-6-amino-s-triazine,pesticide,herbicide,,TRUE,north of hilo,
Atrazine,pesticide,Herbicide,,,,
Bentazon,pesticide,herbicide,,TRUE,"Palm Grove Anchiline Pool, Hualala",
Dichlorprop,pesticide,herbicide,,TRUE,only northeast,
Hexazinone,pesticide,herbicide,,TRUE,north of hilo,
Metolachlor-d6,pesticide,herbicide,,TRUE,north of hilo,
Trifluralin,pesticide,herbicide,,TRUE,"Palm Grove Anchiline Pool, Hualalai",
"1-(3,4-dichlorophenyl)-3-methyl urea",pesticide,Herbicide byproduct,metabolite of diuron,TRUE,north of hilo,
2-Hydroxyatrazine,pesticide,Herbicide byproduct,,TRUE,north of hilo,
Deethylhydroxyatrazine,pesticide,Herbicide byproduct,,TRUE,northeast,
Desisopropyl atrazine,pesticide,Herbicide byproduct,,TRUE,only by hilo,
"2,4-Dichlorophenol","NA, non-detect","herbicide, non-detect",,,,
"3,4-Dichlorophenyl isocyanate",industrial,industrial,"https://en.wikipedia.org/wiki/3,4-Dichlorophenyl_isocyanate",TRUE,treated wastewater in Kona,
"4,4'-Isopropylidenediphenol",industrial,industrial,"This substance is used by consumers, in articles, by professional workers (widespread uses), in formulation or re-packing, at industrial sites and in manufacturing.",TRUE,near honokokau,
4-Nonylphenols,industrial,industrial,Used with mixed-metal stabilizers for heat stabilization of plastics and to make phenolic resins,TRUE,near honokokau,
Butachlor ESA,industrial,industrial,,TRUE,north of hilo,
Chlorinated naphthalenes,industrial,industrial,https://www.epa.gov/sites/default/files/2019-03/documents/ambient-wqc-chlorinatednaphthalene-1980.pdf,TRUE,northeast,
Ethylbenzene,industrial,industrial,,TRUE,only Kahaluu Shaft,
Isophorone,industrial,industrial,,TRUE,only Kohanaiki irrigation pond,
Methylene chloride,industrial,industrial,,TRUE,south east,
Toluene,industrial,industrial,,TRUE,8-3557-05 Kahaluu Shaf,
Toluene-d8,industrial,industrial,,TRUE,,
Tribromomethane,industrial,industrial,https://en.wikipedia.org/wiki/Bromoform,TRUE,around honokokau,
Trihalomethanes,industrial,industrial,disinfection byproduct,TRUE,,
Xylene,industrial,industrial,,TRUE,,
p-Cresol,industrial,industrial,,TRUE,some around honokohau,
"2,4,6-Tribromophenol",industrial,industrial and fungicide,"a brominated derivative of phenol. It is used as a fungicide, as a wood preservative, and an intermediate in the preparation of flame retardants.",TRUE,honokokau,
"1,1,1,2-Tetrachloroethane",industrial,industrial solvent,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2992.pdf,,no,
"1,1,1-Trichloroethane",industrial,industrial solvent,,,no,
"1,2-Dichloroethane-d4",industrial,industrial solvent,"isotoptically labeled, https://www.scbt.com/p/1-2-dichloroethane-d4-17060-07-0",TRUE,,
"2,4-Dinitrotoluene","NA, non-detect","industrial, non-detect","Used to make dyes, explosives, munitions, propellants, rubber chemicals, plastics, and other chemicals",,,
5-Tolyltriazole,PPCPs,"industrial, sunscreen, household",harmful to aquatic life,TRUE,near honokokau,
Aldrin,pesticide,insecticide,,TRUE,northeast,
Carbofuran-D3,pesticide,insecticide,,TRUE,north of hilo,
Carbophenothion,pesticide,insecticide,,TRUE,northeast,
Carbophenothion-methyl,pesticide,insecticide,,TRUE,northeast,
"Chlordane, technical",pesticide,insecticide,https://iris.epa.gov/static/pdfs/0142tr.pdf,TRUE,northeast,
Diazinon,pesticide,insecticide,,TRUE,only northeast,
Diazinon-D10,pesticide,insecticide,,TRUE,everywhere tested,
Dieldrin,pesticide,insecticide,,TRUE,only northeast,
Endrin,pesticide,insecticide,,TRUE,only northeast,
Ethylan,pesticide,insecticide,,TRUE,only northeast,
Heptachlor,pesticide,insecticide,,TRUE,only northeast,
