OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-HI,USGS Hawaii Water Science Center,USGS-16713000,"Wailuku River at Hilo, HI",Stream,,20010000,245.48,sq mi,,,19.72554167,-155.0916694,24000,1,seconds,Interpolated from MAP.,NAD83,80,feet,10,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16717000,"Honolii Stream nr Papaikou, HI",Stream,,20010000,12.04,sq mi,,,19.76433333,-155.1518333,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1540,feet,10,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-16737500,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,,20010000,,,,,20.1347111,-155.6397194,24000,1,seconds,Interpolated from MAP.,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL,US,15,1,,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-190347155354301,"8-0335-01 Naalehu (W1), HI",Well,,20010000,,,,,19.06,-155.5925,24000,1,seconds,Interpolated from MAP.,NAD83,748.2,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,1971,896,ft,896,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-190423155371501,"8-0437-01 Waiohinu, HI",Well,,20010000,,,,,19.06972222,-155.6183889,24000,0.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1299.26,feet,0.01,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Kau Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,,972,ft,1000,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-190832155310901,"8-0831-03 Ninole B, HI",Well,,20010000,,,,,19.13916667,-155.5163889,24000,1,seconds,Interpolated from MAP.,NAD83,128.5,feet,0.1,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,172,ft,172,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-190954155535201,"8-0953-01 Okoe W-1, HI",Well,,20010000,,,,,19.16194444,-155.8847222,24000,1,seconds,Reported.,NAD83,848,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19800901,1178,ft,1178,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-191108155281701,"8-1128-02 Palima, HI",Well,,20010000,,,,,19.1825,-155.468611,24000,1,seconds,Interpolated from Digital MAP.,NAD83,304,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,375,ft,375,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-191219155291601,"8-1229-01 Pahala Well, HI",Well,,20010000,,,,,19.20388889,-155.4866667,24000,1,seconds,Interpolated from MAP.,NAD83,1112.01,feet,0.1,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,1973,938,ft,938,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192646155532001,"8-2653-01 Keei W-C, HI",Well,,20010000,,,,,19.44305556,-155.886111,24000,1,seconds,Interpolated from Digital MAP.,NAD83,882.9,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19780807,913,ft,913,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192728154530101,"8-2783-01 Malama Ki (W9-9), HI",Well,,20010000,,,,,19.45478333,-154.880836,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,274,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19620830,319,ft,319,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192731155534101,"8-2753-02 Keei W-B, HI",Well,,20010000,,,,,19.45305556,-155.891111,24000,1,seconds,Interpolated from MAP.,NAD83,737,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19630101,774,ft,774,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192757155530101,"8-2753-03 Keei D, HI",Well,,20010000,,,,,19.46277778,-155.8808333,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1347,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,1343,ft,1343,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192849154533601,"8-2883-06 Kapoho St. 1-A, HI",Well,,20010000,,,,,19.47722222,-154.8905556,24000,1,seconds,Interpolated from MAP.,NAD83,620,feet,20,feet,Interpolated from topographic map.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192855154532501,"8-2883-03 Kapoho St Geo 1, HI",Well,,20010000,,,,,19.47895833,-154.8874556,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,15,1,Hawaii volcanic-rock aquifers,,,,,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192923154564701,"8-2986-02 Pahoa, W-2B, HI",Well,,20010000,,,,,19.48666667,-154.943611,24000,1,seconds,Interpolated from MAP.,NAD83,712,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,755,ft,755,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-192924154564701,"8-2986-01 Pahoa, W-2A, HI",Well,,20010000,,,,,19.48694444,-154.943611,24000,1,seconds,Interpolated from MAP.,NAD83,704.7,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19600606,754.7,ft,755,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193017154502101,"8-3080-02 Kapoho Shaft, HI",Well,,20010000,,,,,19.5017111,-154.836386,24000,1,seconds,Interpolated from MAP.,NAD83,38.7,feet,0.1,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19650101,46.2,ft,46.2,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193117155550802,"8-3155-02 Halekii, HI",Well,,20010000,,,,,19.51833333,-155.916111,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1750,feet,20,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,1747,ft,1747,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193209155553901,"8-3255-02 Kainaliu Test Well, HI",Well,,20010000,,,,,19.53283889,-155.9247417,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1541.46,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19930701,1600,ft,1600,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193502155572301,"8-3557-05 Kahaluu Shaft, HI",Well,,20010000,,,,,19.58133333,-155.9536306,24000,1,seconds,Interpolated from Digital MAP.,NAD83,608,feet,10,feet,Interpolated from Digital Elevation Model,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19740101,,,,,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193508155570701,"8-3557-03 Kahaluu W-C, HI",Well,,20010000,,,,,19.5825,-155.9491944,24000,1,seconds,Interpolated from Digital MAP.,NAD83,834.84,feet,0.1,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19690101,880,ft,881,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193510155570801,"8-3557-01 Kahaluu W-A, HI",Well,,20010000,,,,,19.58305556,-155.9494639,24000,1,seconds,Interpolated from Digital MAP.,NAD83,833,feet,20,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19590101,877.24,ft,884,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193659155571701,"8-3657-01 N. Kona Holualoa, HI",Well,,20010000,,,,,19.61333056,-155.9475194,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1121.85,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19830601,1172,ft,1180,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193758155565101,"8-3857-04 Waiaha, HI",Well,,20010000,,,,,19.63277778,-155.9475,24000,3,seconds,Unknown.,NAD83,1541.72,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,"Hualalai Volcanic Series, Prehistoric Lava Flows",Unconfined single aquifer,2000,1752,ft,1752,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193803155020201,"8-3802-01 Keaau W-1 (W9-B), HI",Well,,20010000,,,,,19.63114444,-155.031111,24000,1,seconds,Interpolated from MAP.,NAD83,222.38,feet,0.1,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,19210101,450,ft,450,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193805155020201,"8-3802-03 Puna Plant P1 (Keaau 1), HI",Well,,20010000,,,,,19.63166667,-155.031111,24000,1,seconds,Interpolated from MAP.,NAD83,214.5,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,196904,379,ft,379,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193812155041701,"8-3804-01 Keeau, HI",Well,,20010000,,,,,19.6336111,-155.068611,24000,1,seconds,Interpolated from Digital MAP.,NAD83,550.7,feet,0.1,feet,Level or other surveyed method.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,1987,699.15,ft,699.15,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193902155570501,"8-3957-05 Keopu Mauka, HI",Well,,20010000,,,,,19.65058333,-155.9514444,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1601,feet,5,feet,Interpolated from topographic map.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,2001,1781,ft,1799,ft,NWIS
USGS-HI,USGS Hawaii Water Science Center,USGS-193937155004301,"8-3900-01 Keeau W9-2, HI",Well,,20010000,,,,,19.65722222,-155.0091667,24000,1,seconds,Interpolated from MAP.,NAD83,91.5,feet,1,feet,Reported method of determination.,LMSL,US,15,1,Hawaii volcanic-rock aquifers,,,,,137,ft,137,ft,NWIS
