ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,SampleCollectionMethod/MethodName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName
Sediment,NA,6/7/2002,NARS_WQX-HI02-0040,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,1600,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,19.97639,-155.83806,NAD83,NA,NA,NA,NA,NA,NA
Biological,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Invert Sample,NA,Toxicity sediment survival,NA,95,%,NCA Invertebrate Sediment Toxicity Analysis Method,NA,NA,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Lead,Total,7.4,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Mercury,Total,0.11,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0038,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,1010,ug/g,NA,NULL,ug/g,Kawaihae Bay,Estuary,NA,20.01722,-155.83972,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0048,NCA Standard Sediment Sample for multiple analysis,NA,Nickel,Total,295,ug/g,NA,NULL,ug/g,Wailuku River,River/Stream,20010000,19.72333,-155.09833,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0043,NCA Standard Sediment Sample for multiple analysis,NA,cis-Chlordane,Total,0.65,ng/g,NA,0.63,ng/g,Kua Bay,Estuary,NA,19.81139,-156.00722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0049,NCA Standard Sediment Sample for multiple analysis,NA,Organic carbon,Total,2.47,%,NA,-99,%,Hilo Bay,Estuary,NA,19.735,-155.07944,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/6/2002,NARS_WQX-HI02-0044,NCA Standard Sediment Sample for multiple analysis,NA,p-Terphenyl-d14,NA,72,%,NA,NULL,%,Pohakumanu Bay,Estuary,NA,19.8725,-155.10333,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,64300,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/8/2002,NARS_WQX-HI02-0041,NCA Standard Sediment Sample for multiple analysis,NA,Iron,Total,5210,ug/g,NA,NULL,ug/g,Makaiwa Bay,Estuary,NA,19.94333,-155.87,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0050,NCA Standard Sediment Sample for multiple analysis,NA,Manganese,Total,106,ug/g,NA,NULL,ug/g,Reeds Bay,Estuary,NA,19.7275,-155.06195,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/7/2002,NARS_WQX-HI02-0036,NCA Standard Sediment Sample for multiple analysis,NA,Zinc,Total,10.7,ug/g,NA,NULL,ug/g,Keawanui Bay,Estuary,NA,20.11722,-155.88722,NAD83,NA,NA,NA,NA,NA,NA
Sediment,NA,6/5/2002,NARS_WQX-HI02-0045,NCA Standard Sediment Sample for multiple analysis,NA,Aluminum,Total,25900,ug/g,NA,NULL,ug/g,Hilo Bay,Estuary,NA,19.77222,-155.08362,NAD83,NA,NA,NA,NA,NA,NA
