CharacteristicName,MonitoringLocationIdentifier,MonitoringLocationName,Lat,Lon,category,n_samps,min_year,max_year
"(1R,2S,5R)-Menthol",USGS-193938156005601,"Treated wastewater at Kealakehe WWTP, Kona, HI",19.66075,-156.0157222,non detect,1,2007,2007
"(1R,2S,5R)-Menthol",USGS-194004156005101,"Monitor well 2, Kealakehe, Kona, HI",19.66794444,-156.0143333,non detect,1,2007,2007
"(1R,2S,5R)-Menthol",USGS-194005156011201,"Boring 16, Kealakehe, Kona, HI",19.66805556,-156.0201667,non detect,1,2007,2007
"(1R,2S,5R)-Menthol",USGS-194006156011701,"Coastal spring at berth F8, Honokohau Harbor, HI",19.66855556,-156.0213889,non detect,1,2007,2007
"(1R,2S,5R)-Menthol",USGS-194009156011501,"Coastal spring at berth E1, Honokohau Harbor, HI",19.66925,-156.0210833,non detect,1,2007,2007
"(1R,2S,5R)-Menthol",USGS-194014156013301,"Kaloko Anchialine Pool 099, HI",19.67052778,-156.0258889,non detect,2,2009,2009
"(1R,2S,5R)-Menthol",USGS-194043156013201,"Aimakapa fishpond A45, HI",19.67866667,-156.0255556,non detect,2,2009,2009
"(1R,2S,5R)-Menthol",USGS-194050156014701,"Kaloko Anchialine Pool 016, HI",19.68047222,-156.0296667,non detect,1,2009,2009
"(1R,2S,5R)-Menthol",USGS-194053156013001,"8-4061-01 KAHO Well 1, HI",19.67835,-156.0222194,non detect,2,2009,2009
"(1R,2S,5R)-Menthol",USGS-194056155575201,"8-4158-02 Honokohau Well, HI",19.68222222,-155.9644444,non detect,1,2009,2009
"(1R,2S,5R)-Menthol",USGS-194100156015301,"Kaloko Anchialine Pool 53H, HI",19.68322222,-156.0313333,non detect,1,2009,2009
"(1R,2S,5R)-Menthol",USGS-194120156013501,"8-4161-02 KAHO Well 2, HI",19.68584444,-156.0236139,non detect,2,2009,2009
"(1R,2S,5R)-Menthol",USGS-194122156011801,"Kaloko National Park Office, HI",19.68933333,-156.0215278,non detect,1,2009,2009
"(1R,2S,5R)-Menthol",USGS-194122156015901,"North Kaloko fishpond G18, HI",19.68955556,-156.0331667,non detect,2,2009,2009
"(1R,2S,5R)-Menthol",USGS-194125156015501,"8-4161-01 KAHO Well 3, HI",19.68723889,-156.0291639,non detect,1,2009,2009
"(1R,2S,5R)-Menthol",USGS-194125156020501,"Kaloko Anchialine Pool 144, HI",19.69033333,-156.0346944,non detect,2,2009,2009
"(1R,2S,5R)-Menthol",USGS-194127156020401,"8-4162-04 Kohanaiki MW400, HI",19.69077778,-156.0344167,non detect,1,2009,2009
"(1R,2S,5R)-Menthol",USGS-194128156015601,"8-4161-11 Kohanaiki MW401, HI",19.69125,-156.0323056,non detect,1,2009,2009
"(1R,2S,5R)-Menthol",USGS-194131156014801,"Kohanaiki irrigation pond, HI",19.69202778,-156.0300278,non detect,2,2009,2009
.alpha.-Endosulfan,EMAP_CS-HI02-0036,Keawanui Bay,20.11722,-155.88722,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0038,Kawaihae Bay,20.01722,-155.83972,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0039,Kawaihae Bay,19.98195,-155.845,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0040,Kawaihae Bay,19.97639,-155.83806,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0041,Makaiwa Bay,19.94333,-155.87,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0042,Anaehoomalu Bay,19.91361,-155.89139,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0043,Kua Bay,19.81139,-156.00722,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0044,Pohakumanu Bay,19.8725,-155.10333,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0045,Hilo Bay,19.77222,-155.08362,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0046,Hilo Bay,19.75639,-155.09056,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0047,Hilo Bay,19.75028,-155.07195,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0048,Wailuku River,19.72333,-155.09833,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0049,Hilo Bay,19.735,-155.07944,non detect,1,2002,2002
.alpha.-Endosulfan,EMAP_CS-HI02-0050,Reeds Bay,19.7275,-155.06195,non detect,1,2002,2002
.alpha.-Endosulfan,USGS-16737500,"WAIMANU STREAM NEAR KAMUELA, HI",20.1347111,-155.6397194,non detect,3,1992,1993
.alpha.-Endosulfan,USGS-190347155354301,"8-0335-01 Naalehu (W1), HI",19.06,-155.5925,non detect,1,1986,1986
.alpha.-Endosulfan,USGS-190423155371501,"8-0437-01 Waiohinu, HI",19.06972222,-155.6183889,non detect,1,1994,1994
.alpha.-Endosulfan,USGS-193502155572301,"8-3557-05 Kahaluu Shaft, HI",19.58133333,-155.9536306,non detect,1,1986,1986
.alpha.-Endosulfan,USGS-194034156013201,"Aimakapa Fishpond, South Shore, HI",19.6761111,-156.0255556,non detect,1,2002,2002
.alpha.-Endosulfan,USGS-194037156013001,"Aimakapa Fishpond, East Shore, HI",19.67694444,-156.025,non detect,1,2002,2002
.alpha.-Endosulfan,USGS-194042156013501,"Aimakapa Fishpond, North Shore, HI",19.67833333,-156.0263889,non detect,1,2002,2002
.alpha.-Endosulfan,USGS-194053156013001,"8-4061-01 KAHO Well 1, HI",19.67835,-156.0222194,non detect,1,1997,1997
.alpha.-Endosulfan,USGS-194114156015301,"Kaloko Fishpond, Southeast Shore, HI",19.68722222,-156.0313889,non detect,1,2002,2002
.alpha.-Endosulfan,USGS-194119156020201,"Kaloko Fishpond, West Shore, HI",19.6886111,-156.0338889,non detect,1,2002,2002
.alpha.-Endosulfan,USGS-194120156013501,"8-4161-02 KAHO Well 2, HI",19.68584444,-156.0236139,non detect,1,1998,1998
.alpha.-Endosulfan,USGS-194120156015701,"Kaloko Fishpond, Northeast Shore, HI",19.68888889,-156.0325,non detect,1,2002,2002
.alpha.-Endosulfan,USGS-194125156015501,"8-4161-01 KAHO Well 3, HI",19.68723889,-156.0291639,non detect,1,1997,1997
.alpha.-Endosulfan,USGS-194315155584101,"8-4358-01 Kalaoa EX A, HI",19.71776944,-155.9753,non detect,1,1997,1997
.alpha.-Endosulfan,USGS-194318155061801,"8-4306-01 Piihonua W-1, HI",19.71835833,-155.102225,non detect,1,1986,1986
.alpha.-Endosulfan,USGS-194526155054301,"Kaiwiki Stream at Kahoa Street, HI",19.75730556,-155.0951667,non detect,1,2014,2014
.alpha.-Endosulfan,USGS-194938155593601,"Palm Grove Anchiline Pool, Hualalai, HI",19.82702778,-155.9940278,non detect,1,2014,2014
.alpha.-Endosulfan,USGS-194938155593602,"Waikoloa Anch. Pool Preserve Area, Waikoloa, HI",19.9216111,-155.8883333,non detect,1,2014,2014
.alpha.-Endosulfan,USGS-195020155063701,"Alia Stream at Kaupuea Homestead, Pepeekeo, HI",19.83888889,-155.1102778,non detect,1,2014,2014
.alpha.-Endosulfan,USGS-195041155062201,"Makea Stream at Hwy 19, Pepeekeo, HI",19.84458333,-155.1037222,non detect,1,2014,2014
.alpha.-Endosulfan,USGS-195144155054701,"Kapehu Stream near Old Railroad Way, Pepeekeo, HI",19.861,-155.0966667,non detect,1,2014,2014
.alpha.-Endosulfan,USGS-195939155464201,"8-5946-03 Lalamilo W-C, HI",19.98967778,-155.776386,non detect,1,1986,1986
.alpha.-Endosulfan,USGS-200518155281601,"8-6528-01 Haina Well, HI",20.08525833,-155.4683278,variable,2,1981,1986
